sequence,method,sp_raw,sp_norm,wsp_raw,wsp_norm
BBS30002,MUSCLE,60170.0,0.3200634598371772,257.36607766290206,0.8474434186327005
BBS30002,BAliBASE,57202.0,0.3200551132212505,252.23520118775303,0.8016562543489308
BBS30012,ClustalW,174197.0,0.32001060987180885,196.34277352390728,0.7121543250741695
BBS30012,MUSCLE,179772.0,0.320011878211022,225.37680423010045,0.7687226109216903
BBS30012,BAliBASE,174265.0,0.32001051027111893,228.1477391581747,0.7373741367023376
BBS30020,ClustalW,30708.0,0.32001490813374855,34.74378096155138,0.7940282887555068
BBS30020,MUSCLE,31836.0,0.3200142343282733,39.26854662565329,0.7854710461654111
BBS30020,BAliBASE,30767.0,0.32001418250869,37.82855383876597,0.7767977078500277
BB30020,ClustalW,35167.0,0.32001073668681285,391.4212561538987,1.0184497162841084
BB30020,MUSCLE,37516.0,0.32001474992693263,892.9989026429655,1.0785356801328083
BB30020,BAliBASE,35133.0,0.32001296180271743,534.5408360888033,0.940230805186938
BBS30004,ClustalW,148741.0,0.3200218629344376,41.90054728865631,0.6279050754730636
BBS30004,MUSCLE,151567.0,0.32002335055967973,49.42162417151039,0.6576769431050269
BBS30004,BAliBASE,150084.0,0.32002198120858594,42.541194298929405,0.6193448609327422
BB30011,ClustalW,214233.0,0.3200150082623018,237.3748549405082,0.8196892663569627
BB30011,MUSCLE,218788.0,0.3200154945514926,270.57444582862956,0.8770105128276718
BB30011,BAliBASE,216530.0,0.3200151197695382,207.71642707608945,0.8379060503098114
BBS30014,ClustalW,48902.0,0.3200230239937355,73.1545519246016,0.7073148150534634
BBS30014,MUSCLE,50718.0,0.3200248964056889,95.77389850403564,0.7780569187910558
BBS30014,BAliBASE,50547.0,0.32002479017680374,84.66166863299927,0.6987641248697811
BBS30023,ClustalW,162706.0,0.32000583958922557,275.9612057129829,0.6657511600222015
BBS30023,MUSCLE,171148.0,0.3200065868811879,510.2418232761135,0.8031249264094495
BBS30023,BAliBASE,168886.0,0.32000613874639355,277.8537231883059,0.6694528141906371
BB30003,ClustalW,686661.0,0.320000870094853,799.4194186463402,0.7662567964087706
BB30003,MUSCLE,776632.0,0.32000142006993776,1799.064959543595,0.949257330771676
BB30003,BAliBASE,723972.0,0.3200010643963517,885.9746672533531,0.8040008714450438
BBS30029,ClustalW,620118.0,0.32000661231737704,342.95082383448226,0.8183480658924683
BBS30029,MUSCLE,637930.0,0.3200068863692362,454.6247068574614,0.8788122090991202
BBS30029,BAliBASE,624275.0,0.32000662623791853,335.2980752866049,0.8018371467728558
BB30027,ClustalW,4779.0,0.3201541904753432,41.50030171269482,0.9356512101567438
BB30027,MUSCLE,4910.0,0.3201681252087024,52.18596614807935,0.9631678703041076
BB30027,BAliBASE,4729.0,0.32014992259571207,36.29611021938851,0.8902691696895225
BB30019,ClustalW,38129.0,0.32002725669078685,490.45082720735434,0.8261537890753939
BB30019,MUSCLE,42190.0,0.3200371929001246,787.6184664862149,0.9229439183876896
