sequence,method,sp_raw,sp_norm
BBS30013,ClustalW,1667061.0,0.8001828785369717
BBS30013,MUSCLE,2177227.0,0.83429207524323
BBS30013,BAliBASE,1754253.0,0.8066550943222707
BB30004,ClustalW,868885.0,0.8464127417076616
BB30004,MUSCLE,1135892.0,0.8747724297266076
BB30004,BAliBASE,906900.0,0.8509500351864884
BB30016,ClustalW,616625.0,0.9486304952493477
BB30016,MUSCLE,963222.0,0.9641861861861862
BB30016,BAliBASE,595659.0,0.9504600243176227
BB30005,ClustalW,6910442.0,0.8995403915965652
BB30005,MUSCLE,8546701.0,0.9138135767916804
BB30005,BAliBASE,7249112.0,0.903439522706154
BBS30019,ClustalW,117255.0,0.7857544931848337
BBS30019,MUSCLE,133748.0,0.7946999405822935
BBS30019,BAliBASE,127321.0,0.7935442454159032
