sequence,method,wsp_raw,wsp_norm
BBS30017,ClustalW,45.11262080509784,0.7146234336454037
BBS30017,MUSCLE,52.81636784040269,0.7554638467366946
BBS30017,BAliBASE,50.919444454484626,0.7328080445973106
BB30001,ClustalW,961.693588142469,0.8905535728913129
BB30001,MUSCLE,1262.1252893009462,0.9303562233965631
BB30001,BAliBASE,1063.0242260025225,0.862744969166603
BBS30026,ClustalW,284.23091470117396,0.714571408772941
BBS30026,MUSCLE,364.9818398943403,0.8090820211302552
BBS30026,BAliBASE,275.008094237794,0.727408662182873
BB30025,ClustalW,499.07485603458906,0.92449985011378
BB30025,MUSCLE,909.0015094984357,1.0176283462183384
BB30025,BAliBASE,460.45518024122447,0.8853159255749299
BB30030,ClustalW,805.421969647571,0.8035017103316152
BB30030,MUSCLE,2353.1836230529466,0.9585219781532003
BB30030,BAliBASE,1584.0403920412914,0.8892538416897265
BBS30016,ClustalW,12.996037496899756,0.7069720178421769
BBS30016,MUSCLE,12.720740050594896,0.7003786279778167
BBS30016,BAliBASE,12.696457086023019,0.7003633644919032
BB30008,ClustalW,249.73619762619478,0.9977838409208987
BB30008,MUSCLE,405.5864767613301,1.0317854444185142
BB30008,BAliBASE,361.35876468589896,1.0004571605270975
BBS30022,ClustalW,55.08232476750916,0.7913151034844726
BBS30022,MUSCLE,61.20178978800277,0.8253018510678751
BBS30022,BAliBASE,55.542134477347886,0.8054879059110553
BBS30015,ClustalW,14.269403556450577,0.8007743243469693
BBS30015,MUSCLE,11.152726336181576,0.8201112813253784
BBS30015,BAliBASE,16.408185134317126,0.774555200957146
BBS30010,ClustalW,301.4816709832076,0.7053473672833862
BBS30010,MUSCLE,349.08819572975517,0.7380119088550798
BBS30010,BAliBASE,305.83548980184537,0.6966757917467055
BBS30001,ClustalW,139.54905775131144,0.780610249378358
BBS30001,MUSCLE,159.9758589007592,0.8139618223042663
BBS30001,BAliBASE,139.68171765439266,0.7785321502843988
BB30012,ClustalW,624.7251292016558,0.8827275638053754
BB30012,MUSCLE,661.9308191708839,0.9097880099230806
BB30012,BAliBASE,612.072603861664,0.8616419281872639
BB30006,ClustalW,507.697981985131,0.9665114562640089
BB30006,MUSCLE,554.31799402938,0.9814307905358594
BB30006,BAliBASE,495.35233657354297,0.9613046728719552
BBS30003,ClustalW,691.4122749241698,0.7505063503834736
BBS30003,MUSCLE,1142.6933128319129,0.9244570480179034
BBS30003,BAliBASE,794.0715493212188,0.7722347511429652
BB30013,ClustalW,739.9366242025047,0.8497008758690314
BB30013,MUSCLE,1263.4042349111626,0.9807623937793993
BB30013,BAliBASE,618.339420415463,0.9415595724181033
BBS30005,ClustalW,241.1965609957849,0.7302531818925551
BBS30005,MUSCLE,272.1986998864444,0.7862286108652505
BBS30005,BAliBASE,256.3057855060679,0.7433377515671169
BB30002,ClustalW,327.73665594651396,0.8323175736010566
BB30002,MUSCLE,508.58110031126773,0.9091401792205551
BB30002,BAliBASE,441.9950374952638,0.8320232780375262
BBS30013,ClustalW,267.4207401181995,0.8096665098764472
BBS30013,MUSCLE,369.58816503288807,0.8686422289563511
BBS30013,BAliBASE,235.17431347168898,0.8404108186190136
BB30004,ClustalW,113.50056736473272,0.808947637046752
BB30004,MUSCLE,157.60881472590552,0.8750861175365945
BB30004,BAliBASE,121.36099425878339,0.8192013769795438
BB30016,ClustalW,467.9052760311359,0.9360641207061361
BB30016,MUSCLE,726.1408902069869,1.0207586295030173
BB30016,BAliBASE,498.2422825535333,0.9291659723015533
BB30005,ClustalW,1164.0269765461846,0.9228045110495213
BB30005,MUSCLE,1510.3474394108337,0.9549094247349124
BB30005,BAliBASE,1268.2362618943391,0.9196313350367114
BBS30019,ClustalW,92.19677882251774,0.6669599924235697
BBS30019,MUSCLE,96.07724049960396,0.7494358705049106
BBS30019,BAliBASE,94.93958219419363,0.7025815091364486
